_id,school,shirt,demographic,first,year,age,gender,major,conduct,status,going,checked,door,dietary,probable,created,travel
{'$oid': '578fec5ce194339e68bcf94f'},Kent State University at Kent,XXL,True,False,Graduate Student,20.0,male,CS,True,approved,False,True,False,[],True,{'$date': '2016-07-20T21:25:48.946Z'},False
{'$oid': '57a29c6f4f10c8623b695690'},University of Akron Main Campus,L,True,False,Junior,20.0,male,Computer Science/Applied Math,True,approved,True,False,False,['Vegetarian'],True,{'$date': '2016-08-04T01:37:51.463Z'},False
{'$oid': '57a2b5d94f10c8623b695694'},Kent State University at Kent,L,True,False,Junior,19.0,male,Computer Science,True,approved,True,True,False,[],True,{'$date': '2016-08-04T03:26:17.772Z'},True
{'$oid': '57a2b6c34f10c8623b695698'},Fordham University,S,True,False,Freshman,18.0,female,Computer Science,True,approved,False,False,False,[],False,{'$date': '2016-08-04T03:30:11.071Z'},True
{'$oid': '57a2b9514f10c8623b69569e'},University of Washington,S,True,True,Junior,20.0,male,Business Administration,True,approved,False,False,False,['Vegan'],False,{'$date': '2016-08-04T03:41:05.075Z'},True
{'$oid': '57a2bb3a4f10c8623b6956a0'},Pennsylvania State University-Main Campus,M,True,False,Senior,20.0,male,Computer Engineering,True,approved,False,True,False,[],True,{'$date': '2016-08-04T03:49:14.190Z'},True
{'$oid': '57a2bc2d4f10c8623b6956a4'},University of Southern California,M,True,False,Senior,21.0,male,Computer Science,True,approved,False,False,False,"['Vegetarian', 'Vegan']",False,{'$date': '2016-08-04T03:53:17.221Z'},True
{'$oid': '57a2bd3c4f10c8623b6956aa'},Kent State University at Kent,M,True,False,Sophomore,19.0,male,Computer Science,True,approved,True,True,False,[],True,{'$date': '2016-08-04T03:57:48.817Z'},
{'$oid': '57a2beb34f10c8623b6956ac'},Kent State University at Kent,XXL,True,False,Senior,23.0,female,Computer Science,True,approved,True,True,False,[],True,{'$date': '2016-08-04T04:04:03.495Z'},False
{'$oid': '57a2bed04f10c8623b6956ae'},Massachusetts Institute of Technology,S,True,False,Sophomore,18.0,female,Computer Science,True,approved,False,False,False,[],False,{'$date': '2016-08-04T04:04:32.050Z'},True
{'$oid': '57a2bfc34f10c8623b6956b4'},Lehigh University,M,True,False,Senior,21.0,male,Computer Science and Business,True,approved,False,False,False,[],False,{'$date': '2016-08-04T04:08:35.819Z'},
{'$oid': '57a2cbee4f10c8623b6956ba'},Kent State University at Kent,M,True,True,Junior,25.0,male,Digital Science,True,approved,True,True,False,[],True,{'$date': '2016-08-04T05:00:30.739Z'},False
{'$oid': '57a335edff47c5c9712e83fb'},University of Akron Main Campus,L,True,False,Junior,20.0,male,Computer Engineering,True,approved,True,True,False,[],True,{'$date': '2016-08-04T12:32:45.305Z'},True
{'$oid': '57a340e3ff47c5c9712e83ff'},University of Akron Main Campus,L,True,False,Junior,19.0,male,Computer Engineering,True,approved,True,True,False,[],True,{'$date': '2016-08-04T13:19:31.953Z'},
{'$oid': '57a35b3c75ac38a075653585'},Purdue University-Main Campus,S,True,True,Freshman,17.0,male,Computer Science,True,approved,False,False,False,[],False,{'$date': '2016-08-04T15:11:56.952Z'},
{'$oid': '57a35b6c75ac38a075653587'},Purdue University-Main Campus,L,True,True,Freshman,19.0,male,Computer Science,True,approved,False,False,False,['Kosher'],False,{'$date': '2016-08-04T15:12:44.098Z'},True
{'$oid': '57a35b6e75ac38a075653589'},Purdue University-Main Campus,L,True,True,Freshman,18.0,male,Computer Science,True,approved,True,False,False,[],False,{'$date': '2016-08-04T15:12:46.133Z'},True
{'$oid': '57a35c7b75ac38a07565358f'},Purdue University-Main Campus,XL,True,False,Junior,23.0,male,Mathematics and Statistics,True,approved,False,False,False,['Vegan'],False,{'$date': '2016-08-04T15:17:15.738Z'},True
{'$oid': '57a35cf575ac38a075653593'},Purdue University-Main Campus,L,True,False,Junior,22.0,male,Computer Science,True,approved,False,False,False,[],False,{'$date': '2016-08-04T15:19:17.023Z'},True
{'$oid': '57a35d6f75ac38a075653597'},Purdue University-Main Campus,M,True,False,Sophomore,19.0,male,Computer Science,True,approved,False,False,False,[],False,{'$date': '2016-08-04T15:21:19.059Z'},True
{'$oid': '57a35dde75ac38a075653599'},Purdue University-Main Campus,L,True,False,Freshman,18.0,male,Computer Science,True,approved,False,False,False,[],False,{'$date': '2016-08-04T15:23:10.423Z'},True
{'$oid': '57a360d3131077c375a34976'},Purdue University-Main Campus,M,True,False,Junior,20.0,male,Computer Engineering,True,approved,True,False,False,[],False,{'$date': '2016-08-04T15:35:47.972Z'},True
{'$oid': '57a36862131077c375a3497e'},Purdue University-Main Campus,M,True,False,Sophomore,19.0,male,Computer Science,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2016-08-04T16:08:02.039Z'},True
{'$oid': '57a36966131077c375a34980'},Purdue University-Main Campus,M,True,True,Freshman,17.0,male,Computer science,True,approved,True,False,False,[],False,{'$date': '2016-08-04T16:12:22.970Z'},True
{'$oid': '57a36b45131077c375a34986'},Kent State University at Kent,M,True,True,Graduate Student,23.0,male,Digital Science Telecommunication Networks,True,approved,False,False,False,[],True,{'$date': '2016-08-04T16:20:21.740Z'},True
{'$oid': '57a36ba0131077c375a34988'},Purdue University-Main Campus,L,True,False,Senior,22.0,male,Computer Engineering,True,approved,False,False,False,[],False,{'$date': '2016-08-04T16:21:52.234Z'},
{'$oid': '57a3704e131077c375a3498c'},Purdue University-Main Campus,L,True,True,Freshman,18.0,male,Computer Science,True,approved,False,False,False,[],False,{'$date': '2016-08-04T16:41:50.860Z'},True
{'$oid': '57a379c3131077c375a34992'},Purdue University-Main Campus,M,True,False,Sophomore,19.0,male,Computer Science,True,approved,True,False,False,['Vegetarian'],False,{'$date': '2016-08-04T17:22:11.396Z'},True
{'$oid': '57a37a59131077c375a34994'},Purdue University-Main Campus,L,True,True,Freshman,18.0,male,Computer Science,True,approved,True,False,False,[],False,{'$date': '2016-08-04T17:24:41.760Z'},True
{'$oid': '57a37ad4131077c375a34998'},Purdue University-Main Campus,M,True,True,Freshman,18.0,male,Computer Science,True,approved,True,False,False,['Vegetarian'],False,{'$date': '2016-08-04T17:26:44.941Z'},True
{'$oid': '57a37b75131077c375a3499a'},Purdue University,M,True,False,Sophomore,19.0,male,Computer Science,True,approved,True,False,False,[],False,{'$date': '2016-08-04T17:29:25.053Z'},True
