_id,school,shirt,demographic,first,year,age,gender,major,conduct,status,going,checked,door,dietary,probable,created
{'$oid': '591c876408e255e26ec3ff7b'},American InterContinental University-Atlanta,L,True,True,Senior,31.0,male,Information Security,True,approved,False,False,False,[],False,{'$date': '2017-05-17T17:24:52.260Z'}
{'$oid': '595cecb71d72ec5c2beb3f47'},Purdue University,M,True,False,Sophomore,18.0,female,Computer Science,True,approved,False,False,False,[],False,{'$date': '2017-07-05T13:42:15.351Z'}
{'$oid': '597ba27e2a0ed0fa176fee37'},Libertyville High School,M,True,False,Junior,16.0,male,,True,approved,False,False,False,[],False,{'$date': '2017-07-28T20:45:50.388Z'}
{'$oid': '5987eba107640e5b79aca382'},Kent State University,L,True,False,Senior,19.0,Male,Computer Science,True,pending,False,False,False,['Vegetarian'],False,{'$date': '2017-08-07T04:25:05.489Z'}
{'$oid': '5988b64fb8ba51673122c120'},Kent State University at Kent,M,True,True,Sophomore,20.0,male,Computer Science,True,pending,False,False,False,[],False,{'$date': '2017-08-07T18:49:51.134Z'}
{'$oid': '5988ba40b8ba51673122c126'},Kent State University,XXL,True,False,Senior,20.0,Male,Computer Science,True,approved,False,True,False,['Vegetarian'],True,{'$date': '2017-08-07T19:06:40.552Z'}
{'$oid': '598c91aa7003f21169032571'},Purdue University-Main Campus,L,True,False,Sophomore,18.0,male,Computer Science,True,approved,True,False,False,['Vegetarian'],False,{'$date': '2017-08-10T17:02:34.971Z'}
{'$oid': '598d38d02e1271841baf4827'},Kent State University,M,True,False,Sophomore,19.0,Female,Education,True,pending,False,False,False,[],False,{'$date': '2017-08-11T04:55:44.278Z'}
{'$oid': '598d394f2e1271841baf4829'},Kent State University,M,True,True,Junior,19.0,Male,Computer Science,True,pending,False,False,False,[],False,{'$date': '2017-08-11T04:57:51.602Z'}
{'$oid': '598de7e62e1271841baf489d'},University of Akron,L,True,False,Senior,20.0,Other,Computer Engineering,True,approved,False,False,False,[''],False,{'$date': '2017-08-11T17:22:46.955Z'}
{'$oid': '598de9702e1271841baf48b7'},Akron,M,True,False,Senior,21.0,female,psychology/sociology,True,approved,False,True,False,[''],False,{'$date': '2017-08-11T17:29:20.760Z'}
{'$oid': '598dea3b2e1271841baf48cd'},California Institute of Technology (Caltech),M,True,False,Sophomore,18.0,Male,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-11T17:32:43.864Z'}
{'$oid': '598deabf2e1271841baf48cf'},Kent State University,M,True,False,Junior,20.0,Female,Fashion Merchandising ,True,approved,True,True,False,[],True,{'$date': '2017-08-11T17:34:55.709Z'}
{'$oid': '598dee7b2e1271841baf48dd'},Kent State University,XXL,True,False,Senior,24.0,Female,Computer Science,True,approved,True,True,False,[],False,{'$date': '2017-08-11T17:50:51.150Z'}
{'$oid': '598e60012e1271841baf4942'},Kent state University,M,True,True,Sophomore,19.0,Female,Education ,True,approved,False,True,False,['Vegetarian'],False,{'$date': '2017-08-12T01:55:13.635Z'}
{'$oid': '598e90852e1271841baf494c'},Kent State University,L,True,False,Senior,20.0,Male,Computer SCience,True,pending,False,False,False,['Vegetarian'],False,{'$date': '2017-08-12T05:22:13.974Z'}
{'$oid': '598efa792e1271841baf495d'},Kent,L,True,False,Senior,24.0,Female,Com sci,True,pending,False,False,False,['Other'],False,{'$date': '2017-08-12T12:54:17.385Z'}
{'$oid': '598efc772e1271841baf4965'},Kent,L,True,False,Senior,24.0,Female,Com sci,True,pending,False,False,False,[''],False,{'$date': '2017-08-12T13:02:47.214Z'}
{'$oid': '598f35882e1271841baf496d'},kent,M,True,False,Senior,24.0,Female,com sci,True,pending,False,False,False,[''],False,{'$date': '2017-08-12T17:06:16.992Z'}
{'$oid': '598f42d55727bbcb57234cea'},Kent State University,M,True,False,Junior,19.0,Male,Computer Science,True,approved,True,True,False,[],True,{'$date': '2017-08-12T18:03:01.949Z'}
{'$oid': '598f735c5727bbcb57234cfe'},kent asdasdasdadasdasdsadasdasdasdas,M,True,False,Senior,1.2314124231413412e+22,Female,com sci lk;sflsdjfl;ksadjfl;kajsdfl;kjsa;ldfjs;lkdjfls;djfs,True,pending,False,False,False,[''],False,{'$date': '2017-08-12T21:30:04.200Z'}
{'$oid': '598f7c935727bbcb57234d0a'},Remesh,M,True,False,Other,22.0,Male,Computer Science,True,approved,False,True,False,[''],False,{'$date': '2017-08-12T22:09:23.319Z'}
{'$oid': '598f81615727bbcb57234d22'},kent,L,True,False,Junior,24.0,Female,com,True,pending,False,False,False,[],False,{'$date': '2017-08-12T22:29:53.404Z'}
{'$oid': '598f82b95727bbcb57234d2e'},sfsdf,L,True,False,Junior,24.0,Female,sdfsdf,True,pending,False,False,False,[''],False,{'$date': '2017-08-12T22:35:37.886Z'}
{'$oid': '598f99315727bbcb57234d36'},Graduated from The University of Akron,XL,True,False,Other,26.0,Male,Computer Science,True,approved,False,False,False,[],False,{'$date': '2017-08-13T00:11:29.195Z'}
{'$oid': '598f9db75727bbcb57234d40'},Maharaja Agrasen Institute of Technology,S,True,False,Junior,19.0,Male,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-13T00:30:47.876Z'}
{'$oid': '598fa0f25727bbcb57234d44'},Youngstown State University,XL,True,False,Sophomore,20.0,Male,Computer Information Systems,True,approved,True,True,False,[],True,{'$date': '2017-08-13T00:44:34.413Z'}
{'$oid': '598fbd575727bbcb57234d58'},Kent,M,True,False,Junior,19.0,Male,Comp Sci,True,pending,False,False,False,[''],False,{'$date': '2017-08-13T02:45:43.521Z'}
{'$oid': '598ff68f5727bbcb57234d67'},arya College of Engineering and information technology,XL,True,False,Other,21.0,Male,electronics and communication,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-13T06:49:51.788Z'}
{'$oid': '59905c945727bbcb57234d6f'},kent ,M,True,False,Senior,24.0,Female,com sci,True,pending,False,False,False,[''],False,{'$date': '2017-08-13T14:05:08.576Z'}
{'$oid': '59905dcf5727bbcb57234d77'},kent,M,True,False,High Schooler,24.0,Female,com sci,True,pending,False,False,False,['Other'],False,{'$date': '2017-08-13T14:10:23.680Z'}
{'$oid': '59905e255727bbcb57234d7b'},kent,M,True,False,Freshman,24.0,female,comsci,True,pending,False,False,False,[],False,{'$date': '2017-08-13T14:11:49.973Z'}
{'$oid': '5990b2f35727bbcb57234d8c'},Kent State University,XXL,True,False,Senior,26.0,Male,Digital Science,True,approved,True,True,False,[],False,{'$date': '2017-08-13T20:13:39.480Z'}
{'$oid': '5990b6a65727bbcb57234d92'},University of FLorida,M,True,False,Senior,21.0,Female,Religious Studies,True,approved,False,False,False,[''],False,{'$date': '2017-08-13T20:29:26.414Z'}
{'$oid': '59910449f1160c2c7b41b05a'},Dalhousie University,M,True,False,Sophomore,19.0,Female,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-14T02:00:41.793Z'}
{'$oid': '59910fdcf1160c2c7b41b06a'},Case Western Reserve University,M,True,False,Senior,21.0,Male,Computer Engineering/Electrical Engineering,True,approved,False,False,False,[''],False,{'$date': '2017-08-14T02:50:04.547Z'}
{'$oid': '5991d7daf1160c2c7b41b084'},Carnegie Mellon University ,L,True,False,Sophomore,19.0,Female,Cognitive Science + Computer Science ,True,approved,False,False,False,[''],False,{'$date': '2017-08-14T17:03:22.177Z'}
{'$oid': '59920f4e4dda3ca216c49249'},Kent State University,L,True,False,Senior,20.0,Male,Computer Science,True,pending,False,False,False,[''],False,{'$date': '2017-08-14T20:59:58.039Z'}
{'$oid': '5992427d4dda3ca216c49253'},Northeastern University,M,True,False,Graduate Student,22.0,Male,Computer Science,True,approved,True,False,False,['Vegetarian'],False,{'$date': '2017-08-15T00:38:21.443Z'}
{'$oid': '599242944dda3ca216c49255'},Northeastern University,M,True,False,Graduate Student,22.0,Male,Computer Science,True,approved,False,False,False,['Other'],False,{'$date': '2017-08-15T00:38:44.901Z'}
{'$oid': '5992429d4dda3ca216c49257'},Northeastern University,L,True,False,Graduate Student,24.0,Male,Computer Science,True,approved,True,False,False,[],False,{'$date': '2017-08-15T00:38:53.035Z'}
{'$oid': '599251664dda3ca216c4925b'},Kent State University,L,True,True,Senior,26.0,Male,Computer Science,True,approved,True,False,False,[],False,{'$date': '2017-08-15T01:41:58.516Z'}
{'$oid': '599252bc4dda3ca216c49261'},University of Waterloo,S,True,False,Sophomore,19.0,Male,Software Engineering,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T01:47:40.817Z'}
{'$oid': '599253664dda3ca216c49263'},University of Waterloo,S,True,False,Sophomore,19.0,Male,Software Engineering,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T01:50:30.491Z'}
{'$oid': '59925ff94dda3ca216c49267'},University of Oklahoma,L,True,True,Junior,23.0,Female,Engineering Physics,True,approved,False,False,False,['Other'],False,{'$date': '2017-08-15T02:44:09.781Z'}
{'$oid': '599269804dda3ca216c4926c'},"University of California, Berkeley",M,True,False,Graduate Student,21.0,Male,Information Science,True,approved,False,False,False,['Vegan'],False,{'$date': '2017-08-15T03:24:48.717Z'}
{'$oid': '599270f64dda3ca216c49270'},Downers Grove North High School,M,True,True,Senior,17.0,Male,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T03:56:38.392Z'}
{'$oid': '59927f8f4dda3ca216c49274'},Libertyville High School,M,True,False,High Schooler,16.0,Male,,True,approved,False,False,False,[],False,{'$date': '2017-08-15T04:58:55.906Z'}
{'$oid': '599296cb57cce66334f7d443'},The Pennsylvania State University,M,True,False,Senior,20.0,Male,Computer Science,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-15T06:38:03.245Z'}
{'$oid': '5992a47f57cce66334f7d449'},University of Wisconsin Madison,M,True,False,Senior,22.0,Male,Computer Engineering,True,approved,False,False,False,[],False,{'$date': '2017-08-15T07:36:31.717Z'}
{'$oid': '5992a49957cce66334f7d44b'},Jacobs University,M,True,True,Other,20.0,Prefer Not To Say,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T07:36:57.958Z'}
{'$oid': '5992b3c657cce66334f7d44f'},Delhi Technological University,L,True,False,Senior,20.0,Male,Computer Engineering,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-15T08:41:42.188Z'}
{'$oid': '5992bd5157cce66334f7d453'},"Delhi Technological University, Delhi, India",S,True,False,Senior,21.0,Female,Computer Science,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-15T09:22:25.916Z'}
{'$oid': '5992cd8057cce66334f7d459'},Penn State ,M,True,False,Junior,20.0,Male,Information Science & Technology,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T10:31:28.345Z'}
{'$oid': '59930d5a57cce66334f7d45d'},University of Pittsburgh,XL,True,False,Junior,20.0,Male,Computer Science,True,approved,False,True,False,[],False,{'$date': '2017-08-15T15:03:54.894Z'}
{'$oid': '59931eca57cce66334f7d463'},University at Buffalo,L,True,False,Freshman,18.0,Male,Computer Science,True,approved,True,True,False,[],True,{'$date': '2017-08-15T16:18:18.924Z'}
{'$oid': '5993235457cce66334f7d46f'},SUNY Albany,L,True,False,Senior,21.0,Male,Computer Engineering,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T16:37:40.470Z'}
{'$oid': '5993239d57cce66334f7d471'},Penn State University,M,True,False,Senior,21.0,Male,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T16:38:53.265Z'}
{'$oid': '59932b0e57cce66334f7d477'},Penn State University,M,True,False,Senior,21.0,Male,Computer Science,True,approved,True,True,False,[],True,{'$date': '2017-08-15T17:10:38.895Z'}
{'$oid': '59932b3e57cce66334f7d479'},Penn State,M,True,False,Sophomore,19.0,Female,IST,True,approved,False,True,False,['Vegetarian'],False,{'$date': '2017-08-15T17:11:26.040Z'}
{'$oid': '5993393d57cce66334f7d47d'},University of Oklahoma,M,True,False,Junior,20.0,Other,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T18:11:09.371Z'}
{'$oid': '59933f6757cce66334f7d481'},Penn State,L,True,False,Senior,20.0,Male,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T18:37:27.829Z'}
{'$oid': '5993451757cce66334f7d485'},Penn state,L,True,False,Senior,21.0,Male,IST,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T19:01:43.933Z'}
{'$oid': '59934d3c57cce66334f7d489'},Carnegie Mellon University,L,True,False,Freshman,18.0,Male,Computational Physics,True,approved,True,False,False,['Vegetarian'],False,{'$date': '2017-08-15T19:36:28.314Z'}
{'$oid': '59934dba57cce66334f7d48b'},Kent State University,S,True,False,Graduate Student,26.0,Male,Computer Science,True,approved,False,True,False,['Kosher'],False,{'$date': '2017-08-15T19:38:34.324Z'}
{'$oid': '599355a857cce66334f7d495'},Case Western Reserve University,M,True,False,Junior,19.0,Male,Computer Science & Cognitive Science,True,approved,False,False,False,[],False,{'$date': '2017-08-15T20:12:24.453Z'}
{'$oid': '5993682057cce66334f7d49f'},Penn State University,S,True,False,Sophomore,17.0,Male,Computer Science,True,approved,True,False,False,[],False,{'$date': '2017-08-15T21:31:12.578Z'}
{'$oid': '5993689357cce66334f7d4a3'},University of Maryland - Baltimore County,M,True,False,Freshman,18.0,Male,Computer Engineering,True,approved,False,False,False,['Other'],False,{'$date': '2017-08-15T21:33:07.379Z'}
{'$oid': '599368b357cce66334f7d4a5'},Oakland University,L,True,False,Junior,22.0,Male,Computer Science,True,approved,False,False,False,[''],False,{'$date': '2017-08-15T21:33:39.664Z'}
{'$oid': '599369de57cce66334f7d4a7'},"Purdue University, WL",L,True,False,Senior,21.0,Female,Computer Science,True,approved,False,False,False,['Vegan'],False,{'$date': '2017-08-15T21:38:38.871Z'}
{'$oid': '59936dd257cce66334f7d4ab'},Oakland University,L,True,False,Senior,21.0,Male,Computer Science,True,approved,False,False,False,[],False,{'$date': '2017-08-15T21:55:30.213Z'}
{'$oid': '59936eee57cce66334f7d4af'},Nashua High School South,M,True,False,High Schooler,17.0,Male,Computer Science,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-15T22:00:14.414Z'}
{'$oid': '5993725857cce66334f7d4b5'},university of southern california,L,True,False,Graduate Student,22.0,male,computer science,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-15T22:14:48.426Z'}
{'$oid': '5993743857cce66334f7d4b7'},JK Lakshmipat University,L,True,False,Junior,19.0,Male,Computer Science and Engineering,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-15T22:22:48.622Z'}
{'$oid': '599379de57cce66334f7d4c0'},Virginia Commonwealth University,L,True,False,Junior,19.0,Male,Computer Science,True,approved,False,False,False,['Vegetarian'],False,{'$date': '2017-08-15T22:46:54.667Z'}
{'$oid': '59937b4757cce66334f7d4c5'},University of Toronto,L,True,False,Graduate Student,28.0,Female,ECE,True,approved,False,False,False,['Other'],False,{'$date': '2017-08-15T22:52:55.271Z'}
{'$oid': '5993a9a457cce66334f7d4cb'},Rickards High School,S,True,True,High Schooler,17.0,Male,,True,approved,False,False,False,[],False,{'$date': '2017-08-16T02:10:44.428Z'}
{'$oid': '5993aafc57cce66334f7d4d0'},Penn Foster High School,M,True,False,Graduate Student,17.0,Female,Computer Science,True,approved,True,False,False,[],False,{'$date': '2017-08-16T02:16:28.826Z'}
{'$oid': '5993b4f457cce66334f7d4d6'},CWRU,L,True,False,Other,22.0,Male,Computer Science,True,approved,True,True,False,[],False,{'$date': '2017-08-16T02:59:00.124Z'}
{'$oid': '5993ba7157cce66334f7d4da'},Sinclair Community College,L,True,True,Other,23.0,Male,Communications,True,approved,False,False,False,[],False,{'$date': '2017-08-16T03:22:25.666Z'}
{'$oid': '5993bcb257cce66334f7d4e4'},Kent State University,S,True,False,Other,24.0,Female,Psychology,True,approved,True,True,False,['Vegetarian'],True,{'$date': '2017-08-16T03:32:02.029Z'}
